-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/echow/QSU/SEER-medicare/code/hcpcs.log
  log type:  text
 opened on:  13 Jul 2018, 12:14:18

.         tab hcpcs, sort

 HCPCS Code |      Freq.     Percent        Cum.
      78223 |        595        0.01       94.59
      87082 |        594        0.01       94.61
      93965 |        593        0.01       94.62
      J1644 |        593        0.01       94.63
      88332 |        589        0.01       94.65
      J1441 |        586        0.01       94.66
      J7040 |        586        0.01       94.67
      J9999 |        585        0.01       94.69
      J0696 |        583        0.01       94.70
      88329 |        582        0.01       94.71
      90747 |        582        0.01       94.73
      17003 |        579        0.01       94.74
      86704 |        576        0.01       94.75
      92235 |        572        0.01       94.77
      95819 |        572        0.01       94.78
      74181 |        571        0.01       94.79
      A0324 |        570        0.01       94.81
      75716 |        563        0.01       94.82
      P9021 |        563        0.01       94.83
      11100 |        562        0.01       94.85
      95900 |        561        0.01       94.86
      86235 |        557        0.01       94.87
      A0320 |        556        0.01       94.88
      74010 |        553        0.01       94.90
      95860 |        553        0.01       94.91
      73221 |        551        0.01       94.92
      12002 |        550        0.01       94.94
      19162 |        550        0.01       94.95
      80184 |        548        0.01       94.96
      80100 |        545        0.01       94.97
      88399 |        543        0.01       94.99
      93875 |        539        0.01       95.00
      J3420 |        538        0.01       95.01
      71035 |        535        0.01       95.02
      87101 |        535        0.01       95.04
      75630 |        527        0.01       95.05
      87060 |        524        0.01       95.06
      74250 |        522        0.01       95.07
      J0640 |        518        0.01       95.08
      89399 |        517        0.01       95.10
      94750 |        517        0.01       95.11
      86160 |        512        0.01       95.12
      77407 |        511        0.01       95.13
      J1760 |        510        0.01       95.14
      74241 |        508        0.01       95.15
      78315 |        508        0.01       95.17
      89050 |        506        0.01       95.18
      82533 |        503        0.01       95.19
      99141 |        503        0.01       95.20
      83050 |        498        0.01       95.21
      93540 |        496        0.01       95.22
      86885 |        495        0.01       95.24
      J9250 |        494        0.01       95.25
      93544 |        493        0.01       95.26
      92567 |        490        0.01       95.27
      93924 |        489        0.01       95.28
      80101 |        487        0.01       95.29
      73500 |        483        0.01       95.30
      97016 |        483        0.01       95.31
      86256 |        481        0.01       95.32
      93231 |        480        0.01       95.34
      82140 |        478        0.01       95.35
      93732 |        476        0.01       95.36
      J9182 |        471        0.01       95.37
      85095 |        469        0.01       95.38
      76870 |        468        0.01       95.39
      A0326 |        465        0.01       95.40
      76934 |        464        0.01       95.41
      38500 |        462        0.01       95.42
      50590 |        462        0.01       95.43
      C1300 |        461        0.01       95.44
      J9310 |        460        0.01       95.45
      87536 |        456        0.01       95.46
      93926 |        456        0.01       95.48
      86890 |        453        0.01       95.49
      J2912 |        453        0.01       95.50
      83898 |        451        0.01       95.51
      29881 |        449        0.01       95.52
      78305 |        449        0.01       95.53
      75680 |        448        0.01       95.54
      20550 |        447        0.01       95.55
      86225 |        446        0.01       95.56
      97520 |        445        0.01       95.57
      82540 |        443        0.01       95.58
      88150 |        443        0.01       95.59
      36245 |        442        0.01       95.60
      43249 |        442        0.01       95.61
      84512 |        441        0.01       95.62
      52234 |        438        0.01       95.63
      P9603 |        437        0.01       95.64
      29125 |        436        0.01       95.65
      95831 |        433        0.01       95.66
      77310 |        432        0.01       95.67
      88237 |        430        0.01       95.68
      J2430 |        430        0.01       95.69
      J1642 |        429        0.01       95.70
      Q3009 |        426        0.01       95.71
      72265 |        425        0.01       95.72
      75671 |        424        0.01       95.73
      P9016 |        423        0.01       95.74
      43248 |        422        0.01       95.75
      47562 |        422        0.01       95.76
      86320 |        421        0.01       95.77
      76880 |        420        0.01       95.78
      72020 |        418        0.01       95.79
      83890 |        417        0.01       95.80
      84481 |        417        0.01       95.81
      94650 |        414        0.01       95.82
      36489 |        413        0.01       95.83
      62284 |        413        0.01       95.83
      94667 |        412        0.01       95.84
      W0231 |        410        0.01       95.85
      J7030 |        408        0.01       95.86
      19240 |        406        0.01       95.87
      90718 |        406        0.01       95.88
      84466 |        405        0.01       95.89
      30901 |        404        0.01       95.90
      75650 |        403        0.01       95.91
      72196 |        402        0.01       95.92
      G0131 |        402        0.01       95.93
      86921 |        400        0.01       95.94
      82747 |        398        0.01       95.95
      52332 |        397        0.01       95.96
      84146 |        396        0.01       95.96
      96912 |        396        0.01       95.97
      39400 |        395        0.01       95.98
      90805 |        394        0.01       95.99
      93975 |        393        0.01       96.00
      93539 |        392        0.01       96.01
      95811 |        391        0.01       96.02
      92960 |        389        0.01       96.03
      83894 |        388        0.01       96.04
      72125 |        387        0.01       96.05
      78802 |        381        0.01       96.05
      76519 |        378        0.01       96.06
      36216 |        377        0.01       96.07
      43450 |        376        0.01       96.08
      62310 |        374        0.01       96.09
      77401 |        373        0.01       96.10
      88262 |        372        0.01       96.11
